"Este","Norte","Cota","Tipo_Cap","Geol","Prof_seco_","head"
1127183,1123273,2517,"Aljibe","Deposito Aluvial - Qal",5.5,2511.5
1127184,1124182,2516,"Aljibe","Deposito Aluvial - Qal",1,2515
1127214,1124154,2535,"Aljibe","Deposito Aluvial - Qal",2.85,2532.15
1127412,1124441,2521,"Aljibe","Deposito Aluvial - Qal",1.83,2519.17
1127735,1124655,2523,"Aljibe","Deposito Aluvial - Qal",2.2,2520.8
1126467,1124182,2524,"Aljibe","Deposito Aluvial - Qal",2,2522
1119513,1130791,2491,"Aljibe","Deposito Aluvial - Qal",0.4,2490.6
1119669,1131724,2497,"Aljibe","Deposito Aluvial - Qal",1.35,2495.65
1127672,1120675,2569,"Aljibe","Deposito Aluvial - Qal",0.52,2568.48
1134623,1130016,2508,"Aljibe","Deposito Aluvial - Qal",2.35,2505.65
1131167,1128157,2525,"Aljibe","Deposito Aluvial - Qal",10.5,2514.5
1130186,1127208,2529,"Aljibe","Deposito Aluvial - Qal",1.7,2527.3
1132393,1129190,2523,"Aljibe","Deposito Aluvial - Qal",3.52,2519.48
1129803,1129388,2504,"Aljibe","Deposito Aluvial - Qal",1.38,2502.62
1131301,1129385,2506,"Aljibe","Deposito Aluvial - Qal",2.35,2503.65
1120421,1118637,2514,"Aljibe","Deposito Aluvial - Qal",1.2,2512.8
1129290,1129299,2503,"Aljibe","Deposito Aluvial - Qal",3.75,2499.25
1129046,1129873,2522,"Aljibe","Deposito Aluvial - Qal",2.56,2519.44
1128845,1130687,2570,"Aljibe","Deposito Aluvial - Qal",2.58,2567.42
1125698,1130515,2540,"Aljibe","Deposito Aluvial - Qal",3.78,2536.22
1125560,1129853,2525,"Aljibe","Deposito Aluvial - Qal",2.23,2522.77
